Index,emissions/y,COMMUNITY,EARLY USER,CORE TEAM,INVESTORS,EMPLOYEES,RESERVE,TOTAL CIRC SUPPLY
16,274815284.0,1213751474.1994963,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2516781777.0994964
17,17175955.187500015,1636494138.516585,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2939524441.416585
18,14443199.145727206,1650937337.6623123,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2953967640.562312
19,12145234.38643752,1663082572.0487497,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2966112874.9487495
20,10212884.057971459,1673295456.1067212,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2976325759.006721
21,274815285.0,1681883433.7004712,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2984913736.600471
22,7221599.572863605,1689105033.273335,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2992135336.173335
23,6072617.193218761,1695177650.4665537,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2998207953.366554
24,274815284.0,1598892415.2131422,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2901922718.113142
25,4293988.796875006,1704578081.2924144,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3007608384.1924143
26,3610799.786431803,1708188881.0788465,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3011219183.9788465
27,3036308.5966093815,1711225189.6754556,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3014255492.5754557
28,2553221.0144928657,1713778410.6899486,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3016808713.5899487
29,274815285.0,1715925405.088386,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3018955707.988386
30,1805399.893215902,1717730804.981602,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3020761107.881602
31,1518154.298304691,1719248959.2799065,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3022279262.1799064
32,1276610.5072464333,1720525569.787153,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3023555872.687153
33,1073497.1992187519,1721599066.9863718,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3024629369.8863716
34,274815286.0,1722501766.9329798,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3025532069.8329797
35,759077.1491523456,1723260844.0821323,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3026291146.9821324
36,638305.2536232168,1723899149.3357553,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3026929452.2357554
37,536748.599609376,1724435897.9353647,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3027466200.835365
38,274815284.0,1724887247.9086685,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3027917550.8086686
39,274815284.0,1717730804.981602,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3020761107.881602
40,319152.62681160844,1725585939.1100564,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3028616242.0100565
41,268374.2998046881,1725854313.4098608,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3028884616.3098607
42,225674.98665198789,1726079988.3965132,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3029110291.296513
43,189769.2872880865,1726269757.6838012,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3029300060.5838013
44,274815286.0,1726429333.997207,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3029459636.897207
45,134187.14990234407,1726563521.1471093,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3029593824.047109
46,112837.49332599397,1726676358.6404355,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3029706661.5404353
47,274815285.0,1724887247.9086685,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3027917550.8086686
48,79788.15670290214,1726851031.4407823,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3029881334.340782
49,67093.57495117205,1726918125.0157335,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3029948427.9157333
50,56418.74666299701,1726974543.7623963,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030004846.6623964
51,47442.32182202165,1727021986.0842185,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030052288.9842186
52,274815286.0,1727061880.1625698,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030092183.0625696
